player_id,season,value,dropbacks,recency_dropbacks,years_experience,available_at_utc,source_manifest_hash
00-0033319,2020,0.009003945282128183,347,213.0,1.0,2021-02-15T00:00:00Z,daec211cfe940ff0b8c175d9b16010e7
00-0033319,2021,0.07941313986830852,29,184.0,2.0,2022-02-15T00:00:00Z,daec211cfe940ff0b8c175d9b16010e7
00-0033319,2022,0.4974998056324982,25,159.0,3.0,2023-02-15T00:00:00Z,daec211cfe940ff0b8c175d9b16010e7
00-0033319,2023,0.07904078833113314,159,0.0,4.0,2024-02-15T00:00:00Z,daec211cfe940ff0b8c175d9b16010e7
00-0033357,2020,-0.02063423752716794,136,162.0,1.0,2021-02-15T00:00:00Z,daec211cfe940ff0b8c175d9b16010e7
00-0033357,2021,-0.07970011277530735,141,21.0,2.0,2022-02-15T00:00:00Z,daec211cfe940ff0b8c175d9b16010e7
00-0033357,2022,0.5993419792646494,21,0.0,3.0,2023-02-15T00:00:00Z,daec211cfe940ff0b8c175d9b16010e7
00-0033537,2020,0.19308009937617063,595,625.0,4.0,2021-02-15T00:00:00Z,daec211cfe940ff0b8c175d9b16010e7
00-0033537,2022,-0.16051981022201542,188,437.0,6.0,2023-02-15T00:00:00Z,daec211cfe940ff0b8c175d9b16010e7
00-0033537,2023,-0.14114026042623415,187,250.0,7.0,2024-02-15T00:00:00Z,daec211cfe940ff0b8c175d9b16010e7
00-0033537,2024,-0.2461651040284466,250,0.0,8.0,2025-02-15T00:00:00Z,daec211cfe940ff0b8c175d9b16010e7
00-0033550,2022,-0.06008111063027747,41,0.0,6.0,2023-02-15T00:00:00Z,daec211cfe940ff0b8c175d9b16010e7
00-0033662,2021,0.16051388958259202,50,567.0,1.0,2022-02-15T00:00:00Z,daec211cfe940ff0b8c175d9b16010e7
00-0033662,2022,-0.08933070910716388,168,399.0,2.0,2023-02-15T00:00:00Z,daec211cfe940ff0b8c175d9b16010e7
00-0033662,2023,-0.20959790990276886,25,374.0,3.0,2024-02-15T00:00:00Z,daec211cfe940ff0b8c175d9b16010e7
00-0033662,2024,-0.10152129929746463,321,53.0,4.0,2025-02-15T00:00:00Z,daec211cfe940ff0b8c175d9b16010e7
00-0033662,2025,-0.4726751135400783,53,0.0,5.0,2026-02-15T00:00:00Z,daec211cfe940ff0b8c175d9b16010e7
00-0033869,2020,0.06294661201083336,346,368.0,4.0,2021-02-15T00:00:00Z,daec211cfe940ff0b8c175d9b16010e7
00-0033869,2022,0.010553987861658053,191,177.0,6.0,2023-02-15T00:00:00Z,daec211cfe940ff0b8c175d9b16010e7
00-0033869,2023,-0.15964681671332495,114,63.0,7.0,2024-02-15T00:00:00Z,daec211cfe940ff0b8c175d9b16010e7
00-0033869,2024,0.37371193239669753,26,37.0,8.0,2025-02-15T00:00:00Z,daec211cfe940ff0b8c175d9b16010e7
00-0033869,2025,0.6955263546394324,37,0.0,9.0,2026-02-15T00:00:00Z,daec211cfe940ff0b8c175d9b16010e7
00-0033873,2020,0.25481308399058555,732,3625.0,4.0,2021-02-15T00:00:00Z,daec211cfe940ff0b8c175d9b16010e7
00-0033873,2021,0.19709892578524799,818,2807.0,5.0,2022-02-15T00:00:00Z,daec211cfe940ff0b8c175d9b16010e7
00-0033873,2022,0.2621158191203261,780,2027.0,6.0,2023-02-15T00:00:00Z,daec211cfe940ff0b8c175d9b16010e7
00-0033873,2023,0.06934059961424778,776,1251.0,7.0,2024-02-15T00:00:00Z,daec211cfe940ff0b8c175d9b16010e7
00-0033873,2024,0.0959164699091297,714,537.0,8.0,2025-02-15T00:00:00Z,daec211cfe940ff0b8c175d9b16010e7
00-0033873,2025,0.1273575012992599,537,0.0,9.0,2026-02-15T00:00:00Z,daec211cfe940ff0b8c175d9b16010e7
00-0033936,2020,0.08206311061895855,113,60.0,4.0,2021-02-15T00:00:00Z,daec211cfe940ff0b8c175d9b16010e7
00-0033936,2023,-0.007611673693056109,60,0.0,7.0,2024-02-15T00:00:00Z,daec211cfe940ff0b8c175d9b16010e7
00-0033949,2022,-0.12127887214639331,74,498.0,6.0,2023-02-15T00:00:00Z,daec211cfe940ff0b8c175d9b16010e7
00-0033949,2023,-0.18131257149055105,450,48.0,7.0,2024-02-15T00:00:00Z,daec211cfe940ff0b8c175d9b16010e7
00-0033949,2024,0.12677643225562887,48,0.0,8.0,2025-02-15T00:00:00Z,daec211cfe940ff0b8c175d9b16010e7
00-0033958,2022,-0.20148183182347565,25,0.0,6.0,2023-02-15T00:00:00Z,daec211cfe940ff0b8c175d9b16010e7
00-0034177,2021,-0.04047905967743431,95,137.0,1.0,2022-02-15T00:00:00Z,daec211cfe940ff0b8c175d9b16010e7
00-0034177,2023,-0.4189182389389203,86,51.0,3.0,2024-02-15T00:00:00Z,daec211cfe940ff0b8c175d9b16010e7
00-0034177,2024,-0.2799602716307466,51,0.0,4.0,2025-02-15T00:00:00Z,daec211cfe940ff0b8c175d9b16010e7
00-0034401,2021,-0.05336602578894543,137,184.0,4.0,2022-02-15T00:00:00Z,daec211cfe940ff0b8c175d9b16010e7
00-0034401,2022,-0.04145579877099741,184,0.0,5.0,2023-02-15T00:00:00Z,daec211cfe940ff0b8c175d9b16010e7
00-0034577,2020,0.021376620315298887,96,107.0,1.0,2021-02-15T00:00:00Z,daec211cfe940ff0b8c175d9b16010e7
00-0034577,2021,0.017845554070272055,22,85.0,2.0,2022-02-15T00:00:00Z,daec211cfe940ff0b8c175d9b16010e7
00-0034577,2022,-0.4849741304115272,85,0.0,3.0,2023-02-15T00:00:00Z,daec211cfe940ff0b8c175d9b16010e7
00-0034771,2020,0.20544833069512147,45,468.0,3.0,2021-02-15T00:00:00Z,daec211cfe940ff0b8c175d9b16010e7
00-0034771,2021,-0.2619485258855497,57,411.0,4.0,2022-02-15T00:00:00Z,daec211cfe940ff0b8c175d9b16010e7
00-0034771,2023,0.04509430642738976,119,292.0,6.0,2024-02-15T00:00:00Z,daec211cfe940ff0b8c175d9b16010e7
00-0034771,2024,-0.02488408455633741,237,55.0,7.0,2025-02-15T00:00:00Z,daec211cfe940ff0b8c175d9b16010e7
00-0034771,2025,0.0683757709121846,55,0.0,8.0,2026-02-15T00:00:00Z,daec211cfe940ff0b8c175d9b16010e7
00-0034796,2020,0.10184603220678996,458,2215.0,3.0,2021-02-15T00:00:00Z,daec211cfe940ff0b8c175d9b16010e7
00-0034796,2021,0.028801164977738897,421,1794.0,4.0,2022-02-15T00:00:00Z,daec211cfe940ff0b8c175d9b16010e7
00-0034796,2022,0.013560259541702112,352,1442.0,5.0,2023-02-15T00:00:00Z,daec211cfe940ff0b8c175d9b16010e7
00-0034796,2023,0.06704531471930542,560,882.0,6.0,2024-02-15T00:00:00Z,daec211cfe940ff0b8c175d9b16010e7
00-0034796,2024,0.32695326416521486,544,338.0,7.0,2025-02-15T00:00:00Z,daec211cfe940ff0b8c175d9b16010e7
00-0034796,2025,0.020305366354103235,338,0.0,8.0,2026-02-15T00:00:00Z,daec211cfe940ff0b8c175d9b16010e7
00-0034855,2020,0.1521709873488857,580,2743.0,3.0,2021-02-15T00:00:00Z,daec211cfe940ff0b8c175d9b16010e7
00-0034855,2021,-0.03271082261346409,462,2281.0,4.0,2022-02-15T00:00:00Z,daec211cfe940ff0b8c175d9b16010e7
00-0034855,2022,-0.15575032512496315,371,1910.0,5.0,2023-02-15T00:00:00Z,daec211cfe940ff0b8c175d9b16010e7
00-0034855,2023,0.07631595299318158,695,1215.0,6.0,2024-02-15T00:00:00Z,daec211cfe940ff0b8c175d9b16010e7
00-0034855,2024,0.1914889291230448,631,584.0,7.0,2025-02-15T00:00:00Z,daec211cfe940ff0b8c175d9b16010e7
00-0034855,2025,-0.005770641820389942,584,0.0,8.0,2026-02-15T00:00:00Z,daec211cfe940ff0b8c175d9b16010e7
00-0034857,2020,0.21912388913464478,728,3274.0,3.0,2021-02-15T00:00:00Z,daec211cfe940ff0b8c175d9b16010e7
